record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,failed,direct_vs_clean,IDCOMPASS,WLS_TWFE,crashes_per_100k,,,,,,,7911.0,0.0,0.0011376564277588168,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,WLS_TWFE,fatals_per_100k,,,,,,,8034.0,8034.0,0.9414986308190192,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,PPML_raw_count,fatals,,,,,,,8034.0,906.0,0.9414986308190192,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,IDCOMPASS,WLS_TWFE,fatals_per_100k,,,,,,,7911.0,0.0,0.9418531159145493,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,WLS_TWFE,serious_per_100k,,,,,,,8034.0,8034.0,0.5943490166791138,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,PPML_raw_count,serious_inj,,,,,,,8034.0,5162.0,0.5943490166791138,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,IDCOMPASS,WLS_TWFE,serious_per_100k,,,,,,,7911.0,0.0,0.5944886866388572,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,ok,spillover_joint,IL,WLS_TWFE,crashes_per_100k,,,,,,,298044.0,298044.0,0.319020010468253,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,IL,PPML_raw_count,crashes,,,,,,,298044.0,298044.0,0.319020010468253,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,IL,WLS_TWFE,crashes_per_100k,,,,,,,296239.0,296239.0,0.32020767015821683,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,IL,WLS_TWFE,fatals_per_100k,,,,,,,298044.0,298044.0,0.9751110574277624,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,IL,PPML_raw_count,fatals,,,,,,,298044.0,278256.0,0.9751110574277624,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
